Channel              :,CH1,CH2
Frequency            :,19.90Hz,19.90Hz
Period               :,50.24ms,50.24ms
PK-PK                :,681.3mV,215.6mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.125000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-656.250000,131.125000
2,-656.250000,131.125000
3,-655.000000,131.125000
4,-653.750000,131.250000
5,-653.750000,131.500000
6,-651.250000,131.875000
7,-652.500000,131.375000
8,-647.500000,131.375000
9,-643.750000,130.875000
10,-648.750000,131.000000
11,-642.500000,130.750000
12,-638.750000,130.375000
13,-640.000000,131.125000
14,-638.750000,130.875000
15,-635.000000,130.750000
16,-633.750000,131.000000
17,-633.750000,131.000000
18,-630.000000,130.875000
19,-632.500000,130.500000
20,-628.750000,130.000000
21,-628.750000,130.375000
22,-628.750000,130.500000
23,-631.250000,130.500000
24,-625.000000,130.125000
25,-621.250000,130.125000
26,-625.000000,130.625000
27,-622.500000,130.375000
28,-617.500000,130.875000
29,-621.250000,130.750000
30,-612.500000,131.000000
31,-611.250000,130.750000
32,-611.250000,130.625000
33,-612.500000,130.500000
34,-608.750000,130.125000
35,-606.250000,130.125000
36,-608.750000,130.250000
37,-607.500000,129.625000
38,-603.750000,130.250000
39,-606.250000,129.625000
40,-603.750000,130.125000
41,-603.750000,130.500000
42,-600.000000,130.250000
43,-600.000000,130.375000
44,-597.500000,130.000000
45,-593.750000,130.125000
46,-596.250000,130.000000
47,-590.000000,130.375000
48,-588.750000,131.000000
49,-593.750000,130.375000
50,-588.750000,130.500000
51,-586.250000,130.500000
52,-586.250000,130.250000
53,-585.000000,130.625000
54,-581.250000,130.375000
55,-578.750000,130.125000
56,-582.500000,130.500000
57,-576.250000,130.250000
58,-573.750000,130.375000
59,-576.250000,130.125000
60,-575.000000,130.250000
61,-572.500000,130.125000
62,-571.250000,130.125000
63,-572.500000,129.875000
64,-567.500000,129.875000
65,-567.500000,130.250000
66,-568.750000,130.375000
67,-561.250000,130.250000
68,-558.750000,129.875000
69,-563.750000,129.750000
70,-561.250000,130.000000
71,-557.500000,130.000000
72,-558.750000,129.875000
73,-556.250000,129.625000
74,-552.500000,129.500000
75,-551.250000,129.000000
76,-553.750000,129.375000
77,-551.250000,129.750000
78,-547.500000,129.750000
79,-551.250000,129.500000
80,-545.000000,129.875000
81,-541.250000,129.625000
82,-546.250000,129.750000
83,-540.000000,129.625000
84,-541.250000,129.625000
85,-538.750000,129.625000
86,-541.250000,129.500000
87,-536.250000,129.500000
88,-530.000000,129.125000
89,-533.750000,129.000000
90,-532.500000,129.250000
91,-528.750000,129.000000
92,-528.750000,128.625000
93,-528.750000,128.625000
94,-525.000000,129.125000
95,-525.000000,128.500000
96,-521.250000,128.625000
97,-518.750000,128.750000
98,-517.500000,128.875000
99,-513.750000,128.250000
100,-511.250000,129.000000
101,-511.250000,129.500000
102,-507.500000,129.125000
103,-508.750000,129.125000
104,-507.500000,129.000000
105,-506.250000,129.375000
106,-506.250000,130.000000
107,-505.000000,130.000000
108,-503.750000,129.625000
109,-505.000000,129.125000
110,-503.750000,129.250000
111,-503.750000,129.625000
112,-502.500000,129.000000
113,-505.000000,129.500000
114,-506.250000,128.875000
115,-506.250000,128.750000
116,-503.750000,128.875000
117,-502.500000,128.375000
118,-503.750000,128.875000
119,-505.000000,128.625000
120,-502.500000,128.375000
121,-503.750000,128.625000
122,-505.000000,128.625000
123,-500.000000,129.125000
124,-503.750000,128.875000
125,-503.750000,129.125000
126,-502.500000,129.250000
127,-501.250000,129.250000
128,-506.250000,129.375000
129,-506.250000,128.875000
130,-502.500000,129.000000
131,-501.250000,129.000000
132,-507.500000,128.500000
133,-502.500000,128.250000
134,-505.000000,128.500000
135,-507.500000,128.625000
136,-505.000000,128.375000
137,-502.500000,128.250000
138,-502.500000,128.250000
139,-508.750000,128.250000
140,-503.750000,127.875000
141,-505.000000,128.125000
142,-510.000000,128.125000
143,-507.500000,128.125000
144,-505.000000,128.000000
145,-506.250000,127.375000
146,-507.500000,127.500000
147,-508.750000,128.250000
148,-505.000000,128.750000
149,-510.000000,128.875000
150,-508.750000,129.500000
151,-507.500000,130.250000
152,-506.250000,131.125000
153,-510.000000,132.500000
154,-510.000000,133.875000
155,-510.000000,135.625000
156,-508.750000,136.875000
157,-511.250000,137.500000
158,-507.500000,136.875000
159,-508.750000,134.375000
160,-513.750000,130.750000
161,-511.250000,124.875000
162,-511.250000,117.375000
163,-511.250000,108.250000
164,-506.250000,96.750000
165,-517.500000,83.500000
166,-513.750000,68.125000
167,-515.000000,51.375000
168,-515.000000,33.500000
169,-515.000000,15.375000
170,-513.750000,-2.000000
171,-517.500000,-17.500000
172,-515.000000,-31.625000
173,-513.750000,-42.250000
174,-516.250000,-51.625000
175,-516.250000,-57.500000
176,-515.000000,-62.125000
177,-517.500000,-64.875000
178,-517.500000,-66.750000
179,-516.250000,-67.750000
180,-520.000000,-68.250000
181,-520.000000,-68.000000
182,-517.500000,-68.125000
183,-520.000000,-67.625000
184,-523.750000,-67.125000
185,-520.000000,-67.000000
186,-521.250000,-66.125000
187,-525.000000,-65.250000
188,-522.500000,-64.875000
189,-522.500000,-63.750000
190,-526.250000,-62.750000
191,-528.750000,-62.375000
192,-526.250000,-61.625000
193,-526.250000,-60.750000
