X,CH2,Start,Increment
Sequence,Volt,-1.15E-08,5.00E-10
0,1.60E-01,,
1,0.00E+00,,
2,8.00E-02,,
3,-8.00E-02,,
4,8.00E-02,,
5,0.00E+00,,
6,8.00E-02,,
7,-8.00E-02,,
8,1.60E-01,,
9,8.00E-02,,
10,4.00E-01,,
11,9.60E-01,,
12,2.24E+00,,
13,3.44E+00,,
14,4.40E+00,,
15,4.80E+00,,
16,5.04E+00,,
17,5.20E+00,,
18,5.36E+00,,
19,5.44E+00,,
20,5.68E+00,,
21,5.68E+00,,
22,5.76E+00,,
23,5.76E+00,,
24,5.76E+00,,
25,5.76E+00,,
26,5.76E+00,,
27,5.84E+00,,
28,5.92E+00,,
29,5.92E+00,,
30,5.84E+00,,
31,5.84E+00,,
32,5.92E+00,,
33,5.92E+00,,
34,6.00E+00,,
35,5.92E+00,,
36,5.92E+00,,
37,6.00E+00,,
38,6.00E+00,,
39,5.92E+00,,
40,6.00E+00,,
41,6.00E+00,,
42,5.84E+00,,
43,5.84E+00,,
44,5.92E+00,,
45,6.00E+00,,
46,6.00E+00,,
47,5.92E+00,,
48,6.00E+00,,
49,6.00E+00,,
50,6.08E+00,,
51,6.00E+00,,
52,6.08E+00,,
53,6.16E+00,,
54,6.16E+00,,
55,6.08E+00,,
