Channel              :,CH1,CH2
Frequency            :,2.500KHz,2.083KHz
Period               :,0.400ms,0.480ms
PK-PK                :,11.18V,594.0mV
Average              :,120.9mV,-15.14mV
Vertical pos         :,360.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,5.000000mV,0.250000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,0.000000
2,4255.000000,-167.250000
3,4215.000000,-168.750000
4,4175.000000,-167.250000
5,4160.000000,-162.750000
6,4120.000000,-163.250000
7,4110.000000,-165.250000
8,4070.000000,-163.250000
9,4050.000000,-163.750000
10,4010.000000,-163.250000
11,3975.000000,-161.250000
12,3925.000000,-160.250000
13,3890.000000,-155.250000
14,3865.000000,-151.250000
15,3820.000000,-153.750000
16,3795.000000,-156.250000
17,3755.000000,-150.750000
18,3695.000000,-149.250000
19,3660.000000,-147.250000
20,3600.000000,-147.250000
21,3570.000000,-141.750000
22,3520.000000,-140.250000
23,3490.000000,-139.250000
24,3440.000000,-141.250000
25,3385.000000,-133.750000
26,3325.000000,-131.250000
27,3300.000000,-125.750000
28,3230.000000,-127.250000
29,3180.000000,-120.750000
30,3110.000000,-122.750000
31,3080.000000,-121.750000
32,3015.000000,-117.250000
33,2960.000000,-115.250000
34,2910.000000,-107.750000
35,2830.000000,-110.250000
36,2770.000000,-108.250000
37,2720.000000,-103.750000
38,2665.000000,-97.750000
39,2585.000000,-99.750000
40,2530.000000,-95.250000
41,2480.000000,-94.750000
42,2395.000000,-92.250000
43,2335.000000,-89.250000
44,2285.000000,-87.250000
45,2205.000000,-85.250000
46,2130.000000,-78.250000
47,2070.000000,-77.750000
48,2000.000000,-70.750000
49,1925.000000,-69.750000
50,1880.000000,-69.250000
51,1805.000000,-65.750000
52,1710.000000,-67.750000
53,1655.000000,-59.750000
54,1585.000000,-57.250000
55,1500.000000,-52.250000
56,1420.000000,-50.250000
57,1355.000000,-49.250000
58,1290.000000,-42.250000
59,1195.000000,-40.750000
60,1120.000000,-37.750000
61,1060.000000,-31.250000
62,1000.000000,-32.250000
63,915.000000,-30.250000
64,830.000000,-20.750000
65,765.000000,-20.750000
66,675.000000,-17.750000
67,590.000000,-13.750000
68,525.000000,-9.750000
69,450.000000,-9.250000
70,350.000000,-4.750000
71,270.000000,2.750000
72,195.000000,2.250000
73,120.000000,7.250000
74,35.000000,12.250000
75,-30.000000,15.750000
76,-100.000000,18.750000
77,-220.000000,17.250000
78,-290.000000,25.750000
79,-360.000000,31.250000
80,-455.000000,30.750000
81,-530.000000,32.250000
82,-605.000000,39.750000
83,-690.000000,43.250000
84,-770.000000,45.750000
85,-840.000000,50.250000
86,-925.000000,52.750000
87,-1015.000000,58.750000
88,-1085.000000,61.250000
89,-1155.000000,62.750000
90,-1245.000000,68.750000
91,-1340.000000,72.250000
92,-1415.000000,72.250000
93,-1510.000000,75.250000
94,-1585.000000,83.250000
95,-1670.000000,86.750000
96,-1755.000000,89.750000
97,-1825.000000,95.750000
98,-1910.000000,97.750000
99,-2000.000000,98.750000
100,-2065.000000,103.750000
101,-2140.000000,105.250000
102,-2240.000000,107.750000
103,-2300.000000,113.750000
104,-2385.000000,118.750000
105,-2460.000000,124.250000
106,-2535.000000,126.250000
107,-2630.000000,128.750000
108,-2710.000000,134.250000
109,-2780.000000,138.250000
110,-2855.000000,140.250000
111,-2935.000000,143.750000
112,-3005.000000,146.250000
113,-3090.000000,152.750000
114,-3140.000000,155.250000
115,-3235.000000,156.750000
116,-3315.000000,157.750000
117,-3370.000000,159.750000
118,-3425.000000,148.750000
119,-3495.000000,137.250000
120,-3535.000000,132.250000
121,-3545.000000,121.250000
122,-3605.000000,120.750000
123,-3610.000000,120.250000
124,-3630.000000,112.250000
125,-3615.000000,109.750000
126,-3630.000000,113.250000
127,-3645.000000,104.250000
128,-3640.000000,98.750000
129,-3655.000000,106.750000
130,-3655.000000,112.250000
131,-3670.000000,106.250000
132,-3665.000000,106.250000
133,-3640.000000,102.750000
134,-3665.000000,100.750000
135,-3640.000000,102.750000
136,-3655.000000,103.750000
137,-3650.000000,102.750000
138,-3665.000000,101.750000
139,-3640.000000,108.250000
140,-3660.000000,105.750000
141,-3650.000000,106.250000
142,-3635.000000,122.250000
143,-3650.000000,106.250000
144,-3640.000000,114.250000
