Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,20.26V,1.012V
Average              :,-2.885V,144.6mV
Vertical pos         :,-2300.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,12.500000mV,0.500000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,0.000000
2,8025.000000,-555.000000
3,8062.500000,-558.500000
4,8175.000000,-561.000000
5,8237.500000,-563.500000
6,8300.000000,-566.000000
7,8387.500000,-570.000000
8,8487.500000,-572.000000
9,8537.500000,-582.500000
10,8600.000000,-579.000000
11,8700.000000,-581.000000
12,8775.000000,-587.500000
13,8875.000000,-592.500000
14,8950.000000,-593.500000
15,9025.000000,-599.000000
16,9125.000000,-607.500000
17,9175.000000,-604.500000
18,9262.500000,-601.500000
19,9350.000000,-608.000000
20,9387.500000,-611.000000
21,9487.500000,-616.000000
22,9550.000000,-618.500000
23,9612.500000,-623.500000
24,9662.500000,-626.500000
25,9750.000000,-631.000000
26,9837.500000,-630.000000
27,9875.000000,-634.000000
28,9975.000000,-642.000000
29,10062.500000,-639.500000
30,10137.500000,-643.000000
31,10175.000000,-647.500000
32,10250.000000,-651.000000
33,10337.500000,-649.500000
34,10400.000000,-647.500000
35,10437.500000,-636.500000
36,10462.500000,-629.500000
37,10500.000000,-626.500000
38,10550.000000,-623.500000
39,10562.500000,-620.500000
40,10575.000000,-614.500000
41,10612.500000,-612.000000
42,10612.500000,-609.500000
43,10612.500000,-608.000000
44,10625.000000,-604.500000
45,10637.500000,-606.500000
46,10612.500000,-610.500000
47,10637.500000,-599.000000
48,10662.500000,-604.500000
49,10637.500000,-602.500000
50,10625.000000,-598.000000
51,10637.500000,-607.500000
52,10650.000000,-601.500000
53,10637.500000,-600.000000
54,10587.500000,-600.500000
55,10625.000000,-607.500000
56,10625.000000,-605.500000
57,10600.000000,-604.000000
58,10612.500000,-605.000000
59,10612.500000,-609.000000
60,10600.000000,-604.500000
61,10625.000000,-604.000000
62,10625.000000,-611.500000
63,10612.500000,-608.500000
64,10612.500000,-606.500000
65,10612.500000,-608.000000
66,10587.500000,-611.500000
67,10575.000000,-609.000000
68,10562.500000,-610.000000
69,10537.500000,-614.500000
70,10550.000000,-618.500000
71,10575.000000,-615.000000
72,10575.000000,-616.500000
73,10525.000000,-617.000000
74,10550.000000,-616.500000
75,10562.500000,-619.000000
76,10550.000000,-619.500000
77,10525.000000,-619.000000
78,10512.500000,-622.500000
79,10525.000000,-621.000000
80,10525.000000,-621.500000
81,10500.000000,-625.000000
82,10475.000000,-622.500000
83,10487.500000,-628.500000
84,10487.500000,-627.000000
85,10500.000000,-628.500000
86,10475.000000,-628.500000
87,10450.000000,-630.500000
88,10475.000000,-630.000000
89,10475.000000,-633.500000
90,10400.000000,-631.500000
91,10425.000000,-636.500000
92,10425.000000,-637.000000
93,10425.000000,-635.500000
94,10400.000000,-639.500000
95,10375.000000,-639.000000
96,10387.500000,-637.000000
97,10387.500000,-639.500000
98,10375.000000,-649.500000
99,10375.000000,-644.500000
100,10375.000000,-646.500000
101,10387.500000,-641.500000
102,10362.500000,-644.500000
103,10337.500000,-647.000000
104,10362.500000,-649.000000
105,10325.000000,-652.500000
106,10312.500000,-649.500000
107,10300.000000,-651.000000
108,10300.000000,-651.500000
109,10262.500000,-654.000000
110,10262.500000,-649.500000
111,10237.500000,-652.000000
112,10250.000000,-655.000000
113,10212.500000,-653.000000
114,10212.500000,-654.000000
115,10200.000000,-652.000000
116,10162.500000,-650.500000
117,10162.500000,-651.500000
118,10125.000000,-652.000000
119,10100.000000,-648.000000
120,10050.000000,-647.500000
121,10037.500000,-643.500000
122,10037.500000,-649.000000
123,9975.000000,-646.000000
124,9937.500000,-646.000000
125,9912.500000,-645.500000
126,9925.000000,-642.500000
127,9862.500000,-638.000000
128,9837.500000,-635.000000
129,9812.500000,-635.500000
130,9762.500000,-632.000000
131,9725.000000,-632.500000
132,9675.000000,-632.500000
133,9637.500000,-633.000000
134,9587.500000,-627.000000
135,9562.500000,-625.000000
136,9537.500000,-624.500000
137,9462.500000,-623.500000
138,9425.000000,-621.500000
139,9350.000000,-622.500000
140,9337.500000,-616.500000
141,9287.500000,-612.500000
142,9237.500000,-612.500000
143,9175.000000,-612.000000
144,9125.000000,-611.000000
145,9050.000000,-607.000000
146,9025.000000,-603.000000
147,8975.000000,-603.500000
148,8900.000000,-606.000000
149,8850.000000,-595.500000
150,8800.000000,-595.000000
151,8737.500000,-598.000000
152,8650.000000,-592.000000
153,8587.500000,-587.500000
154,8562.500000,-586.500000
155,8487.500000,-586.000000
156,8425.000000,-579.000000
157,8375.000000,-576.500000
158,8312.500000,-581.000000
159,8275.000000,-570.500000
160,8212.500000,-570.000000
161,8125.000000,-569.500000
162,8062.500000,-564.000000
163,7987.500000,-554.000000
164,7937.500000,-551.500000
165,7875.000000,-556.500000
166,7800.000000,-548.000000
167,7750.000000,-547.000000
168,7675.000000,-544.500000
169,7575.000000,-548.500000
170,7525.000000,-536.500000
171,7462.500000,-537.000000
172,7400.000000,-532.000000
173,7325.000000,-528.000000
174,7237.500000,-525.000000
175,7175.000000,-523.500000
176,7112.500000,-519.500000
177,7050.000000,-515.500000
178,6962.500000,-518.000000
179,6850.000000,-508.000000
180,6825.000000,-509.000000
181,6737.500000,-507.500000
182,6687.500000,-499.000000
183,6625.000000,-496.000000
184,6525.000000,-496.000000
185,6450.000000,-492.500000
186,6375.000000,-488.500000
187,6312.500000,-487.500000
188,6237.500000,-481.500000
189,6162.500000,-478.500000
190,6075.000000,-475.000000
191,6050.000000,-475.500000
192,5962.500000,-469.000000
193,5850.000000,-460.000000
194,5787.500000,-461.500000
195,5775.000000,-460.000000
196,5625.000000,-453.000000
197,5575.000000,-451.500000
198,5487.500000,-448.500000
199,5450.000000,-447.500000
200,5387.500000,-439.500000
201,5325.000000,-439.000000
202,5275.000000,-437.000000
203,5150.000000,-431.500000
204,5100.000000,-429.000000
205,4975.000000,-425.500000
206,4937.500000,-422.000000
207,4862.500000,-421.500000
208,4825.000000,-417.500000
209,4725.000000,-411.000000
210,4675.000000,-411.500000
211,4600.000000,-410.500000
212,4512.500000,-405.000000
213,4462.500000,-401.500000
214,4400.000000,-402.500000
215,4350.000000,-400.500000
216,4275.000000,-391.000000
217,4237.500000,-385.500000
218,4112.500000,-391.000000
219,4100.000000,-389.500000
220,4012.500000,-384.000000
221,3925.000000,-385.000000
222,3900.000000,-380.500000
223,3825.000000,-376.000000
224,3775.000000,-372.500000
225,3700.000000,-373.500000
226,3625.000000,-372.000000
227,3612.500000,-363.500000
228,3525.000000,-366.000000
229,3475.000000,-364.500000
230,3450.000000,-357.500000
231,3362.500000,-356.500000
232,3325.000000,-355.500000
233,3275.000000,-350.500000
234,3212.500000,-350.500000
235,3137.500000,-348.000000
236,3125.000000,-342.000000
237,3075.000000,-338.500000
238,3025.000000,-339.000000
239,2950.000000,-338.000000
240,2912.500000,-336.000000
241,2875.000000,-340.000000
242,2850.000000,-331.000000
243,2787.500000,-330.000000
244,2750.000000,-331.000000
245,2725.000000,-326.500000
246,2662.500000,-323.500000
247,2612.500000,-318.000000
248,2575.000000,-322.000000
249,2525.000000,-318.000000
250,2487.500000,-316.500000
251,2462.500000,-319.500000
252,2462.500000,-311.500000
253,2387.500000,-312.500000
254,2337.500000,-314.000000
255,2337.500000,-309.000000
256,2325.000000,-304.500000
257,2262.500000,-302.500000
258,2237.500000,-299.500000
259,2200.000000,-295.000000
260,2162.500000,-295.500000
261,2137.500000,-295.000000
262,2100.000000,-288.000000
263,2100.000000,-282.000000
264,2062.500000,-283.000000
265,1987.500000,-283.500000
266,1962.500000,-278.000000
267,1925.000000,-275.500000
268,1887.500000,-273.000000
269,1875.000000,-272.000000
270,1825.000000,-266.000000
271,1787.500000,-265.000000
272,1775.000000,-263.500000
273,1737.500000,-261.000000
274,1700.000000,-258.000000
275,1687.500000,-253.000000
276,1637.500000,-244.500000
277,1625.000000,-245.500000
278,1600.000000,-246.500000
279,1562.500000,-240.500000
280,1550.000000,-237.000000
281,1500.000000,-238.000000
282,1462.500000,-235.500000
283,1437.500000,-231.500000
284,1437.500000,-226.000000
285,1387.500000,-227.500000
286,1362.500000,-223.500000
287,1350.000000,-220.500000
288,1325.000000,-219.500000
289,1275.000000,-219.000000
290,1262.500000,-211.500000
291,1237.500000,-211.500000
292,1212.500000,-217.000000
293,1187.500000,-207.500000
294,1162.500000,-210.500000
295,1137.500000,-209.000000
296,1087.500000,-203.000000
297,1112.500000,-199.000000
298,1037.500000,-203.000000
299,1062.500000,-194.000000
300,1025.000000,-195.000000
301,1025.000000,-193.000000
302,1012.500000,-196.000000
303,1000.000000,-191.500000
304,962.500000,-190.000000
305,950.000000,-186.000000
306,912.500000,-189.500000
307,900.000000,-183.500000
308,887.500000,-183.500000
309,850.000000,-182.500000
310,875.000000,-181.500000
311,825.000000,-184.000000
312,825.000000,-177.500000
313,825.000000,-177.500000
314,825.000000,-178.500000
315,800.000000,-178.000000
316,787.500000,-174.500000
317,787.500000,-180.000000
318,775.000000,-171.500000
319,787.500000,-171.000000
320,825.000000,-171.000000
321,750.000000,-178.500000
322,762.500000,-167.000000
