Channel              :,CH1,CH2
Frequency            :,299.4Hz,299.4Hz
Period               :,3.340ms,3.340ms
PK-PK                :,10.98V,644.5mV
Average              :,-258.6mV,18.64mV
Vertical pos         :,360.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,5.000000mV,0.250000mV
Time interval        :,2.00000uS,2.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,0.000000
2,-2490.000000,192.000000
3,-2480.000000,185.500000
4,-2445.000000,192.000000
5,-2435.000000,192.500000
6,-2415.000000,177.000000
7,-2395.000000,179.000000
8,-2380.000000,183.000000
9,-2345.000000,184.500000
10,-2350.000000,184.000000
11,-2345.000000,178.000000
12,-2315.000000,170.000000
13,-2260.000000,169.000000
14,-2265.000000,174.000000
15,-2265.000000,175.000000
16,-2225.000000,178.500000
17,-2230.000000,173.500000
18,-2195.000000,175.500000
19,-2175.000000,183.500000
20,-2175.000000,170.500000
21,-2150.000000,178.500000
22,-2120.000000,174.000000
23,-2120.000000,171.500000
24,-2090.000000,169.500000
25,-2055.000000,171.000000
26,-2090.000000,178.000000
27,-2030.000000,170.000000
28,-2040.000000,168.500000
29,-2010.000000,165.000000
30,-2010.000000,169.500000
31,-1970.000000,182.500000
32,-1955.000000,163.500000
33,-1935.000000,166.500000
34,-1945.000000,164.000000
35,-1900.000000,173.000000
36,-1895.000000,160.000000
37,-1870.000000,166.500000
38,-1855.000000,166.500000
39,-1800.000000,148.000000
40,-1805.000000,164.000000
41,-1795.000000,161.000000
42,-1770.000000,155.000000
43,-1750.000000,162.500000
44,-1745.000000,152.500000
45,-1705.000000,161.500000
46,-1705.000000,157.500000
47,-1675.000000,152.000000
48,-1640.000000,157.500000
49,-1630.000000,156.500000
50,-1620.000000,153.500000
51,-1605.000000,156.500000
52,-1570.000000,159.000000
53,-1570.000000,152.500000
54,-1540.000000,150.500000
55,-1515.000000,148.000000
56,-1515.000000,148.000000
57,-1470.000000,144.500000
58,-1450.000000,151.500000
59,-1430.000000,155.500000
60,-1410.000000,146.000000
61,-1425.000000,146.500000
62,-1385.000000,145.000000
63,-1360.000000,156.500000
64,-1355.000000,147.000000
65,-1320.000000,138.500000
66,-1335.000000,133.000000
67,-1290.000000,136.500000
68,-1280.000000,139.000000
69,-1245.000000,125.000000
70,-1220.000000,138.500000
71,-1250.000000,135.500000
72,-1215.000000,126.500000
73,-1210.000000,130.500000
74,-1170.000000,128.000000
75,-1145.000000,125.000000
76,-1130.000000,128.500000
77,-1110.000000,125.500000
78,-1090.000000,114.000000
79,-1060.000000,121.500000
80,-1050.000000,119.000000
81,-1025.000000,106.500000
82,-995.000000,112.000000
83,-985.000000,116.000000
84,-965.000000,98.000000
85,-930.000000,109.000000
86,-935.000000,110.000000
87,-905.000000,91.000000
88,-895.000000,107.500000
89,-870.000000,96.500000
90,-835.000000,88.000000
91,-810.000000,104.000000
92,-790.000000,99.500000
93,-755.000000,90.500000
94,-750.000000,104.500000
95,-730.000000,90.500000
96,-695.000000,92.000000
97,-665.000000,99.000000
98,-650.000000,89.000000
99,-640.000000,81.000000
100,-595.000000,80.500000
101,-625.000000,82.500000
102,-550.000000,70.500000
103,-550.000000,87.500000
104,-535.000000,75.500000
105,-500.000000,81.500000
106,-490.000000,83.000000
107,-475.000000,75.000000
108,-445.000000,72.000000
109,-405.000000,77.500000
110,-390.000000,74.500000
111,-355.000000,63.500000
112,-350.000000,71.500000
113,-345.000000,63.000000
114,-305.000000,60.000000
115,-275.000000,56.500000
116,-260.000000,69.500000
117,-245.000000,52.500000
118,-235.000000,56.500000
119,-195.000000,52.000000
120,-180.000000,54.000000
121,-145.000000,49.500000
122,-140.000000,44.500000
123,-105.000000,40.000000
124,-80.000000,45.000000
125,-75.000000,39.500000
126,-30.000000,30.500000
127,0.000000,41.500000
128,-20.000000,31.500000
129,30.000000,25.000000
130,45.000000,31.500000
131,65.000000,18.500000
132,95.000000,24.500000
133,120.000000,23.000000
134,125.000000,22.500000
135,160.000000,14.000000
136,185.000000,27.500000
137,195.000000,18.000000
138,225.000000,11.000000
139,250.000000,14.500000
140,250.000000,15.500000
141,290.000000,7.500000
142,305.000000,17.000000
143,330.000000,12.500000
144,340.000000,-3.500000
145,380.000000,11.000000
146,375.000000,6.500000
147,400.000000,1.000000
148,420.000000,6.000000
149,425.000000,-3.000000
150,455.000000,-8.000000
151,510.000000,1.500000
152,495.000000,-10.500000
153,515.000000,-11.000000
154,585.000000,-3.500000
155,570.000000,-4.000000
156,580.000000,-16.000000
157,620.000000,-4.000000
158,650.000000,-8.500000
159,655.000000,-12.000000
160,695.000000,-17.000000
161,705.000000,-17.500000
162,730.000000,-29.000000
163,760.000000,-19.000000
164,775.000000,-23.500000
165,800.000000,-33.500000
166,830.000000,-24.500000
167,850.000000,-27.500000
168,845.000000,-34.000000
169,880.000000,-33.500000
170,885.000000,-33.000000
171,945.000000,-35.000000
172,955.000000,-28.500000
173,995.000000,-43.000000
174,975.000000,-47.000000
175,1010.000000,-37.000000
176,1040.000000,-42.000000
177,1040.000000,-54.000000
178,1075.000000,-45.000000
179,1100.000000,-51.500000
180,1110.000000,-54.500000
181,1130.000000,-51.000000
182,1160.000000,-49.000000
183,1185.000000,-66.500000
184,1205.000000,-57.000000
185,1230.000000,-53.000000
186,1240.000000,-68.000000
187,1260.000000,-64.500000
188,1270.000000,-61.500000
189,1295.000000,-64.500000
190,1325.000000,-66.000000
191,1350.000000,-70.500000
192,1345.000000,-76.500000
193,1395.000000,-67.500000
194,1415.000000,-83.000000
195,1430.000000,-86.000000
196,1450.000000,-86.000000
197,1480.000000,-77.500000
198,1475.000000,-93.500000
199,1510.000000,-80.000000
200,1525.000000,-84.500000
201,1530.000000,-92.000000
202,1585.000000,-89.500000
203,1585.000000,-86.000000
204,1610.000000,-93.000000
205,1630.000000,-84.000000
206,1640.000000,-88.500000
207,1680.000000,-95.500000
208,1700.000000,-99.500000
209,1710.000000,-89.500000
210,1745.000000,-103.500000
211,1765.000000,-106.000000
212,1780.000000,-105.500000
213,1795.000000,-115.500000
214,1835.000000,-105.000000
215,1845.000000,-110.500000
216,1860.000000,-111.000000
