Channel              :,CH1,CH2
Frequency            :,19.90Hz,19.94Hz
Period               :,50.24ms,50.16ms
PK-PK                :,641.3mV,45.15mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.025000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-665.000000,21.825001
2,-665.000000,21.825001
3,-662.500000,21.375000
4,-657.500000,21.875000
5,-655.000000,22.000000
6,-656.250000,21.900000
7,-652.500000,22.325001
8,-656.250000,22.525000
9,-650.000000,22.150000
10,-651.250000,22.525000
11,-646.250000,22.100000
12,-647.500000,22.075001
13,-647.500000,22.375000
14,-647.500000,22.325001
15,-642.500000,22.150000
16,-643.750000,22.700001
17,-641.250000,22.299999
18,-641.250000,22.275000
19,-637.500000,22.400000
20,-637.500000,22.375000
21,-635.000000,22.650000
22,-637.500000,23.025000
23,-632.500000,22.525000
24,-631.250000,22.650000
25,-630.000000,22.799999
26,-630.000000,22.500000
27,-628.750000,22.600000
28,-626.250000,22.700001
29,-628.750000,22.475000
30,-620.000000,22.325001
31,-622.500000,22.500000
32,-620.000000,22.500000
33,-623.750000,22.525000
34,-613.750000,22.825001
35,-617.500000,22.700001
36,-611.250000,22.775000
37,-617.500000,23.025000
38,-612.500000,22.950001
39,-612.500000,23.625000
40,-608.750000,23.250000
41,-608.750000,23.075001
42,-608.750000,23.549999
43,-608.750000,23.725000
44,-602.500000,22.924999
45,-603.750000,23.325001
46,-601.250000,22.950001
47,-602.500000,22.850000
48,-598.750000,23.200001
49,-597.500000,23.475000
50,-597.500000,23.100000
51,-593.750000,23.500000
52,-593.750000,23.750000
53,-595.000000,23.250000
54,-592.500000,23.700001
55,-590.000000,23.450001
56,-590.000000,23.500000
57,-586.250000,24.025000
58,-587.500000,23.825001
59,-582.500000,23.750000
60,-585.000000,24.100000
61,-581.250000,23.700001
62,-582.500000,23.975000
63,-582.500000,23.924999
64,-581.250000,23.775000
65,-576.250000,23.825001
66,-572.500000,24.049999
67,-570.000000,24.049999
68,-567.500000,24.174999
69,-563.750000,24.075001
70,-563.750000,23.825001
71,-565.000000,23.975000
72,-563.750000,24.150000
73,-562.500000,23.650000
74,-560.000000,24.000000
75,-562.500000,23.900000
76,-562.500000,23.725000
77,-557.500000,24.000000
78,-561.250000,23.850000
79,-557.500000,23.750000
80,-557.500000,24.125000
81,-560.000000,23.875000
82,-557.500000,23.799999
83,-562.500000,24.575001
84,-558.750000,24.325001
85,-563.750000,24.400000
86,-555.000000,24.625000
87,-561.250000,24.825001
88,-560.000000,24.200001
89,-562.500000,24.875000
90,-560.000000,24.600000
91,-558.750000,24.674999
92,-560.000000,24.500000
93,-562.500000,24.225000
94,-557.500000,24.375000
95,-560.000000,24.549999
96,-560.000000,24.075001
97,-558.750000,24.250000
98,-561.250000,24.100000
99,-562.500000,23.875000
100,-560.000000,23.775000
101,-562.500000,24.650000
102,-562.500000,23.924999
103,-563.750000,24.650000
104,-563.750000,24.674999
105,-560.000000,24.150000
106,-563.750000,24.549999
107,-562.500000,25.049999
108,-560.000000,24.525000
109,-558.750000,24.924999
110,-561.250000,24.850000
111,-560.000000,24.975000
112,-562.500000,25.125000
113,-563.750000,24.950001
114,-561.250000,24.900000
115,-563.750000,25.275000
116,-565.000000,24.775000
117,-567.500000,24.625000
118,-563.750000,24.950001
119,-561.250000,24.825001
120,-562.500000,24.825001
121,-563.750000,25.225000
122,-568.750000,24.875000
123,-561.250000,25.299999
124,-567.500000,25.475000
125,-568.750000,25.125000
126,-568.750000,25.525000
127,-566.250000,25.375000
128,-571.250000,25.125000
129,-563.750000,25.299999
130,-570.000000,25.299999
131,-570.000000,24.825001
132,-567.500000,25.225000
133,-566.250000,25.525000
134,-570.000000,25.025000
135,-568.750000,24.975000
136,-570.000000,25.400000
137,-570.000000,25.049999
138,-572.500000,25.424999
139,-570.000000,25.375000
140,-572.500000,25.400000
141,-570.000000,25.475000
142,-573.750000,25.325001
143,-572.500000,25.525000
144,-568.750000,26.075001
145,-573.750000,25.450001
146,-577.500000,25.600000
147,-571.250000,25.825001
148,-573.750000,25.674999
149,-572.500000,25.125000
150,-575.000000,25.350000
151,-577.500000,24.950001
152,-577.500000,25.650000
153,-577.500000,25.250000
154,-575.000000,25.100000
155,-575.000000,25.600000
156,-578.750000,25.700001
157,-578.750000,25.825001
158,-580.000000,26.125000
159,-578.750000,26.125000
160,-580.000000,26.200001
