Channel              :,CH1,CH2
Frequency            :,2.553KHz,2.553KHz
Period               :,0.392ms,0.392ms
PK-PK                :,10.00V,503.5mV
Average              :,-119.2mV,-3.799mV
Vertical pos         :,360.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,5.000000mV,0.250000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,0.000000
2,905.000000,-19.750000
3,810.000000,-22.250000
4,715.000000,-14.750000
5,625.000000,-5.750000
6,530.000000,-6.750000
7,435.000000,-5.250000
8,340.000000,-0.750000
9,250.000000,8.250000
10,165.000000,11.250000
11,65.000000,11.250000
12,-45.000000,21.750000
13,-135.000000,19.750000
14,-250.000000,26.750000
15,-320.000000,35.250000
16,-415.000000,34.250000
17,-515.000000,39.250000
18,-605.000000,45.250000
19,-705.000000,49.250000
20,-795.000000,53.750000
21,-885.000000,58.750000
22,-1000.000000,61.250000
23,-1105.000000,64.750000
24,-1180.000000,68.750000
25,-1285.000000,71.250000
26,-1380.000000,74.250000
27,-1450.000000,84.250000
28,-1565.000000,85.250000
29,-1675.000000,89.750000
30,-1760.000000,97.750000
31,-1845.000000,100.750000
32,-1940.000000,102.250000
33,-2050.000000,102.750000
34,-2130.000000,115.250000
35,-2240.000000,118.250000
36,-2340.000000,117.250000
37,-2430.000000,123.250000
38,-2520.000000,131.750000
39,-2615.000000,131.750000
40,-2700.000000,136.250000
41,-2800.000000,145.250000
42,-2895.000000,144.250000
43,-2995.000000,151.750000
44,-3055.000000,156.250000
45,-3175.000000,159.750000
46,-3270.000000,158.250000
47,-3360.000000,167.750000
48,-3440.000000,170.250000
49,-3550.000000,172.750000
50,-3620.000000,176.750000
51,-3725.000000,178.250000
52,-3800.000000,172.250000
53,-3850.000000,160.250000
54,-3930.000000,151.250000
55,-3965.000000,137.750000
56,-3975.000000,137.750000
57,-4020.000000,132.750000
58,-4030.000000,126.750000
59,-4055.000000,123.750000
60,-4060.000000,117.750000
61,-4070.000000,118.250000
62,-4085.000000,115.250000
63,-4095.000000,114.250000
64,-4095.000000,116.750000
65,-4100.000000,112.250000
66,-4100.000000,111.750000
67,-4100.000000,116.250000
68,-4100.000000,111.250000
69,-4120.000000,111.750000
70,-4105.000000,112.250000
71,-4095.000000,116.250000
72,-4100.000000,115.250000
73,-4100.000000,114.750000
74,-4110.000000,112.250000
75,-4110.000000,109.750000
76,-4105.000000,113.750000
77,-4095.000000,116.250000
78,-4090.000000,113.250000
79,-4105.000000,113.250000
80,-4080.000000,115.250000
81,-4100.000000,114.250000
82,-4060.000000,116.750000
83,-4085.000000,117.250000
84,-4080.000000,118.250000
85,-4100.000000,120.250000
86,-4080.000000,116.750000
87,-4045.000000,122.750000
88,-4060.000000,122.750000
89,-4055.000000,121.750000
90,-4040.000000,124.250000
91,-4030.000000,125.250000
92,-4030.000000,124.750000
93,-4035.000000,125.250000
94,-4010.000000,131.250000
95,-4025.000000,133.750000
96,-4000.000000,129.750000
97,-4010.000000,125.750000
98,-4005.000000,132.250000
99,-4000.000000,132.250000
100,-3985.000000,133.250000
101,-3970.000000,136.750000
102,-3970.000000,136.250000
103,-3975.000000,138.250000
104,-3960.000000,142.250000
105,-3975.000000,142.750000
106,-3945.000000,141.750000
107,-3945.000000,144.750000
108,-3930.000000,145.750000
109,-3930.000000,145.750000
110,-3935.000000,154.250000
111,-3930.000000,152.250000
112,-3905.000000,155.250000
113,-3900.000000,149.750000
114,-3885.000000,154.750000
115,-3880.000000,154.750000
116,-3870.000000,158.250000
117,-3880.000000,159.750000
118,-3855.000000,160.750000
119,-3860.000000,160.750000
120,-3845.000000,164.250000
121,-3825.000000,166.750000
122,-3845.000000,163.750000
123,-3825.000000,168.250000
124,-3815.000000,169.750000
125,-3805.000000,170.250000
126,-3800.000000,173.750000
127,-3780.000000,177.250000
128,-3770.000000,176.750000
129,-3760.000000,176.750000
130,-3770.000000,179.750000
131,-3730.000000,182.750000
132,-3735.000000,182.750000
133,-3720.000000,187.750000
134,-3730.000000,186.250000
135,-3705.000000,187.750000
136,-3720.000000,188.750000
137,-3720.000000,193.250000
138,-3685.000000,194.250000
139,-3695.000000,193.750000
140,-3680.000000,196.250000
141,-3655.000000,195.250000
142,-3650.000000,192.750000
143,-3625.000000,184.750000
144,-3615.000000,181.750000
145,-3590.000000,182.250000
146,-3555.000000,182.250000
147,-3525.000000,180.250000
148,-3495.000000,177.250000
149,-3460.000000,178.250000
150,-3440.000000,175.750000
151,-3390.000000,172.750000
152,-3350.000000,172.250000
153,-3315.000000,170.250000
154,-3275.000000,170.750000
155,-3245.000000,166.750000
156,-3185.000000,166.250000
157,-3145.000000,164.250000
158,-3105.000000,161.250000
159,-3070.000000,161.250000
160,-3005.000000,162.750000
161,-2955.000000,156.250000
162,-2900.000000,148.750000
163,-2870.000000,154.250000
164,-2810.000000,150.750000
165,-2745.000000,136.750000
166,-2705.000000,146.750000
167,-2650.000000,145.750000
168,-2595.000000,139.750000
169,-2545.000000,136.250000
170,-2470.000000,138.250000
171,-2420.000000,137.250000
172,-2350.000000,129.250000
173,-2275.000000,128.750000
174,-2210.000000,124.750000
175,-2165.000000,121.750000
176,-2115.000000,119.250000
177,-2030.000000,114.250000
178,-1965.000000,113.250000
179,-1910.000000,111.250000
180,-1840.000000,110.250000
181,-1765.000000,104.750000
182,-1700.000000,101.250000
183,-1625.000000,98.250000
184,-1565.000000,94.250000
185,-1500.000000,91.750000
186,-1420.000000,87.750000
187,-1365.000000,83.250000
188,-1265.000000,83.750000
189,-1205.000000,79.750000
190,-1115.000000,75.750000
191,-1050.000000,74.750000
192,-965.000000,71.250000
193,-900.000000,66.250000
194,-840.000000,65.750000
195,-750.000000,58.750000
196,-660.000000,54.250000
197,-595.000000,49.250000
198,-515.000000,50.750000
199,-420.000000,45.250000
200,-360.000000,39.250000
201,-280.000000,34.750000
202,-180.000000,36.750000
203,-130.000000,28.250000
204,-50.000000,29.750000
205,30.000000,25.250000
206,120.000000,19.750000
207,185.000000,18.750000
208,270.000000,16.250000
209,360.000000,12.250000
210,415.000000,4.250000
211,520.000000,3.750000
212,595.000000,3.250000
213,660.000000,-2.750000
214,740.000000,-5.250000
215,840.000000,-10.750000
216,905.000000,-16.750000
217,980.000000,-18.250000
218,1060.000000,-26.750000
219,1135.000000,-25.750000
220,1220.000000,-29.750000
221,1295.000000,-34.250000
222,1385.000000,-35.250000
223,1450.000000,-38.750000
224,1535.000000,-44.250000
225,1605.000000,-46.750000
226,1680.000000,-50.250000
227,1780.000000,-52.750000
228,1855.000000,-55.750000
229,1925.000000,-58.250000
230,1975.000000,-60.250000
231,2080.000000,-68.250000
232,2145.000000,-70.750000
233,2220.000000,-75.750000
234,2290.000000,-74.750000
235,2375.000000,-79.750000
236,2430.000000,-83.750000
237,2515.000000,-86.250000
238,2590.000000,-87.250000
239,2630.000000,-94.250000
240,2720.000000,-95.750000
241,2790.000000,-94.250000
242,2860.000000,-101.750000
243,2925.000000,-105.750000
244,2975.000000,-106.750000
245,3065.000000,-107.250000
246,3135.000000,-113.250000
247,3190.000000,-117.750000
248,3265.000000,-117.750000
249,3320.000000,-120.750000
250,3375.000000,-126.250000
251,3445.000000,-124.250000
252,3515.000000,-128.250000
253,3560.000000,-133.750000
254,3630.000000,-134.250000
255,3680.000000,-134.750000
256,3760.000000,-138.750000
257,3800.000000,-143.250000
258,3850.000000,-143.250000
259,3920.000000,-147.250000
260,3945.000000,-152.750000
261,4000.000000,-150.750000
262,4060.000000,-151.750000
263,4115.000000,-158.250000
264,4150.000000,-159.250000
265,4210.000000,-159.250000
266,4265.000000,-162.250000
267,4285.000000,-168.250000
268,4330.000000,-167.250000
269,4385.000000,-168.250000
270,4425.000000,-174.750000
271,4460.000000,-167.250000
272,4510.000000,-176.750000
273,4550.000000,-176.750000
274,4585.000000,-175.250000
275,4620.000000,-177.250000
276,4655.000000,-183.750000
277,4700.000000,-182.250000
278,4725.000000,-183.250000
279,4750.000000,-189.250000
280,4800.000000,-184.250000
281,4825.000000,-193.750000
282,4850.000000,-193.750000
283,4885.000000,-195.250000
284,4910.000000,-202.250000
285,4945.000000,-204.250000
286,4985.000000,-205.250000
287,5005.000000,-208.750000
288,5035.000000,-211.750000
