Channel              :,CH1,CH2
Frequency            :,2.554KHz,2.554KHz
Period               :,0.392ms,0.392ms
PK-PK                :,10.11V,500.5mV
Average              :,-8.914mV,-8.079mV
Vertical pos         :,360.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,5.000000mV,0.250000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,0.000000
2,-2705.000000,143.250000
3,-2645.000000,141.250000
4,-2580.000000,138.750000
5,-2530.000000,135.250000
6,-2480.000000,135.250000
7,-2425.000000,129.250000
8,-2360.000000,123.250000
9,-2315.000000,122.750000
10,-2265.000000,123.750000
11,-2190.000000,121.750000
12,-2130.000000,119.250000
13,-2055.000000,115.250000
14,-2000.000000,113.750000
15,-1935.000000,112.250000
16,-1860.000000,106.750000
17,-1805.000000,107.750000
18,-1720.000000,105.250000
19,-1645.000000,103.250000
20,-1605.000000,96.250000
21,-1540.000000,96.250000
22,-1470.000000,94.750000
23,-1395.000000,87.750000
24,-1335.000000,81.750000
25,-1265.000000,83.250000
26,-1205.000000,78.750000
27,-1135.000000,78.250000
28,-1050.000000,74.750000
29,-995.000000,68.250000
30,-915.000000,65.250000
31,-840.000000,61.750000
32,-770.000000,59.750000
33,-705.000000,55.750000
34,-615.000000,55.250000
35,-550.000000,47.750000
36,-485.000000,44.250000
37,-400.000000,46.750000
38,-330.000000,43.250000
39,-260.000000,34.250000
40,-190.000000,33.750000
41,-95.000000,34.750000
42,-35.000000,29.750000
43,40.000000,22.250000
44,105.000000,19.750000
45,195.000000,17.750000
46,275.000000,15.250000
47,355.000000,9.750000
48,420.000000,8.750000
49,510.000000,3.250000
50,575.000000,3.750000
51,635.000000,-0.750000
52,720.000000,-4.750000
53,780.000000,-11.750000
54,845.000000,-8.250000
55,940.000000,-12.250000
56,1005.000000,-19.250000
57,1070.000000,-22.250000
58,1155.000000,-23.250000
59,1215.000000,-28.250000
60,1290.000000,-32.750000
61,1370.000000,-34.750000
62,1450.000000,-35.250000
63,1500.000000,-42.250000
64,1580.000000,-44.250000
65,1650.000000,-44.750000
66,1720.000000,-51.750000
67,1790.000000,-53.250000
68,1870.000000,-55.250000
69,1940.000000,-59.250000
70,2005.000000,-62.250000
71,2050.000000,-64.750000
72,2130.000000,-70.750000
73,2200.000000,-69.750000
74,2265.000000,-75.250000
75,2335.000000,-80.750000
76,2395.000000,-82.750000
77,2445.000000,-80.750000
78,2525.000000,-86.750000
79,2590.000000,-93.250000
80,2650.000000,-91.750000
81,2710.000000,-95.250000
82,2780.000000,-99.250000
83,2850.000000,-98.250000
84,2900.000000,-106.750000
85,2970.000000,-107.250000
86,3020.000000,-106.250000
87,3070.000000,-110.750000
88,3130.000000,-117.250000
89,3185.000000,-115.750000
90,3225.000000,-114.250000
91,3300.000000,-123.750000
92,3345.000000,-121.250000
93,3385.000000,-122.750000
94,3460.000000,-128.750000
95,3480.000000,-131.750000
96,3555.000000,-128.250000
97,3595.000000,-134.250000
98,3645.000000,-138.250000
99,3700.000000,-138.750000
100,3755.000000,-140.750000
101,3770.000000,-142.250000
102,3815.000000,-142.250000
103,3870.000000,-141.750000
104,3895.000000,-150.250000
105,3945.000000,-150.250000
106,3985.000000,-148.750000
107,4020.000000,-154.250000
108,4055.000000,-156.250000
109,4110.000000,-155.250000
110,4135.000000,-158.250000
111,4160.000000,-159.250000
112,4190.000000,-158.250000
113,4245.000000,-164.250000
114,4265.000000,-166.250000
115,4290.000000,-162.750000
116,4325.000000,-166.250000
117,4345.000000,-165.750000
118,4370.000000,-165.250000
119,4395.000000,-169.250000
120,4415.000000,-170.250000
121,4440.000000,-170.250000
122,4465.000000,-172.750000
123,4485.000000,-173.750000
124,4510.000000,-174.750000
125,4540.000000,-175.250000
126,4535.000000,-173.750000
127,4540.000000,-180.250000
128,4555.000000,-178.750000
129,4580.000000,-181.250000
130,4600.000000,-181.250000
131,4605.000000,-176.250000
132,4600.000000,-180.750000
133,4620.000000,-181.750000
134,4630.000000,-178.750000
135,4635.000000,-180.250000
136,4610.000000,-180.750000
137,4615.000000,-179.750000
138,4630.000000,-179.750000
139,4605.000000,-173.250000
140,4615.000000,-180.250000
141,4630.000000,-172.250000
142,4630.000000,-178.750000
143,4615.000000,-178.250000
144,4590.000000,-178.750000
145,4595.000000,-184.750000
146,4575.000000,-180.750000
147,4580.000000,-176.750000
148,4545.000000,-180.250000
149,4545.000000,-178.250000
150,4535.000000,-178.250000
151,4535.000000,-177.750000
152,4490.000000,-177.250000
153,4465.000000,-174.750000
154,4460.000000,-174.750000
155,4445.000000,-171.750000
156,4400.000000,-173.250000
157,4405.000000,-172.250000
158,4360.000000,-168.250000
159,4330.000000,-167.750000
160,4315.000000,-169.250000
161,4295.000000,-165.750000
162,4265.000000,-162.750000
163,4240.000000,-168.750000
164,4200.000000,-160.750000
165,4155.000000,-160.750000
166,4115.000000,-164.250000
167,4080.000000,-157.750000
168,4050.000000,-157.750000
169,4015.000000,-156.250000
170,3970.000000,-155.250000
171,3930.000000,-148.250000
172,3885.000000,-149.750000
173,3845.000000,-149.250000
174,3790.000000,-142.750000
175,3765.000000,-140.750000
176,3685.000000,-145.250000
177,3660.000000,-140.250000
178,3605.000000,-134.250000
179,3570.000000,-137.250000
180,3510.000000,-133.250000
181,3450.000000,-132.250000
182,3400.000000,-126.750000
183,3350.000000,-130.250000
184,3310.000000,-124.250000
185,3235.000000,-123.250000
186,3175.000000,-116.750000
187,3120.000000,-118.250000
188,3060.000000,-119.250000
189,3000.000000,-112.250000
190,2930.000000,-109.250000
191,2855.000000,-106.250000
192,2800.000000,-103.750000
193,2740.000000,-101.750000
194,2680.000000,-96.750000
195,2590.000000,-94.750000
196,2535.000000,-92.750000
197,2475.000000,-87.250000
198,2395.000000,-87.750000
199,2335.000000,-84.750000
200,2250.000000,-79.250000
201,2200.000000,-79.750000
202,2105.000000,-69.750000
203,2055.000000,-69.750000
204,1965.000000,-68.750000
205,1890.000000,-64.250000
206,1800.000000,-62.250000
207,1750.000000,-58.250000
208,1655.000000,-54.250000
209,1575.000000,-56.250000
210,1490.000000,-47.750000
211,1410.000000,-45.750000
212,1340.000000,-38.250000
213,1260.000000,-36.750000
214,1180.000000,-33.250000
215,1070.000000,-30.250000
216,1010.000000,-25.250000
217,930.000000,-23.250000
218,855.000000,-18.750000
219,750.000000,-15.750000
220,685.000000,-9.250000
